equipment_id,equipment_name,equipment_type,assigned_rig_id,status,purchase_date,purchase_cost,annual_maintenance_cost,last_maintenance_date,expected_life_years
EQ001,Drilling Motor-001,Drawworks,RIG139,Active,2022-10-18,605492,92536,2024-08-07,14
EQ002,Rotary Table-002,Rotary Table,RIG147,Maintenance,2016-10-20,4446742,93904,2024-03-24,24
EQ003,Blowout Preventer-003,Rotary Table,RIG073,Active,2016-06-28,3919582,107358,2024-03-06,24
EQ004,Drill Pipe-004,Pressure Pump,RIG030,Active,2022-01-29,2739440,141796,2024-01-05,15
EQ005,Drill Pipe-005,Drilling Motor,RIG027,Maintenance,2016-07-24,1306812,101374,2024-05-29,6
EQ006,Power System-006,Drilling Motor,RIG107,Active,2019-10-11,1072093,195535,2024-09-18,19
EQ007,Top Drive-007,Mud Pump,RIG038,Maintenance,2019-01-05,505668,32283,2024-02-13,21
EQ008,Drawworks-008,Drill Pipe,RIG172,Active,2019-06-09,4875460,142870,2024-07-22,5
EQ009,Pressure Pump-009,Power System,RIG016,Active,2017-09-22,4559875,35982,2024-02-25,14
EQ010,Drill Pipe-010,Mud Pump,RIG127,Active,2017-06-27,2357194,196991,2024-04-24,10
EQ011,Top Drive-011,Top Drive,RIG059,Maintenance,2021-05-10,3231846,45083,2024-08-23,15
EQ012,Drilling Motor-012,Blowout Preventer,RIG142,Active,2016-08-07,1460819,173712,2024-03-06,19
EQ013,Power System-013,Drawworks,RIG112,Active,2018-09-20,1437510,156408,2024-05-06,12
EQ014,BOP Stack-014,Drawworks,RIG023,Active,2020-11-17,1543223,73180,2024-07-29,6
EQ015,Mud Pump-015,Drill Pipe,RIG047,Active,2021-06-25,2542705,119593,2024-03-10,17
EQ016,BOP Stack-016,Power System,RIG195,Active,2021-06-16,3629874,109760,2024-08-17,20
EQ017,Drilling Motor-017,Mud Pump,RIG022,Active,2015-12-17,3651152,152230,2024-01-09,15
EQ018,BOP Stack-018,Mud Pump,RIG044,Maintenance,2020-06-18,3297785,143229,2024-04-17,17
EQ019,Drawworks-019,Top Drive,RIG076,Maintenance,2020-06-05,4551270,196049,2024-01-13,23
EQ020,Power System-020,Rotary Table,RIG057,Active,2015-10-24,566250,94267,2024-08-06,20
EQ021,Power System-021,Rotary Table,RIG109,Active,2020-11-20,3453241,87439,2024-05-27,6
EQ022,Power System-022,Blowout Preventer,RIG131,Active,2020-01-21,3092259,162002,2024-07-11,18
EQ023,Rotary Table-023,Rotary Table,RIG141,Maintenance,2020-10-18,2630152,46577,2024-09-10,19
EQ024,Drill Pipe-024,Mud Pump,RIG187,Active,2018-01-08,980087,38366,2024-01-18,16
EQ025,BOP Stack-025,Drill Pipe,RIG183,Active,2019-08-29,883141,192109,2024-07-28,22
EQ026,Drilling Motor-026,Blowout Preventer,RIG050,Active,2019-07-31,2665121,64785,2024-05-01,10
EQ027,Blowout Preventer-027,Drawworks,RIG039,Active,2019-07-24,520590,42764,2024-09-04,18
EQ028,BOP Stack-028,Blowout Preventer,RIG041,Active,2020-08-01,4701732,155555,2024-07-10,16
EQ029,Pressure Pump-029,Blowout Preventer,RIG028,Maintenance,2015-11-08,4470971,122293,2024-06-26,19
EQ030,Blowout Preventer-030,Mud Pump,RIG024,Active,2021-09-19,1153786,156100,2024-05-08,20
EQ031,Pressure Pump-031,Pressure Pump,RIG148,Active,2022-06-06,2912187,131008,2024-06-10,5
EQ032,Rotary Table-032,Pressure Pump,RIG065,Idle,2020-09-14,3409075,130801,2024-01-07,20
EQ033,Drawworks-033,Mud Pump,RIG114,Active,2015-09-21,2766140,116700,2024-03-10,19
EQ034,Drilling Motor-034,BOP Stack,RIG039,Active,2021-01-15,1397232,185133,2024-05-28,22
EQ035,Rotary Table-035,Drawworks,RIG130,Active,2015-05-15,3238883,113979,2024-08-09,23
EQ036,Top Drive-036,BOP Stack,RIG093,Idle,2018-04-28,854085,179863,2024-01-27,12
EQ037,Drawworks-037,Power System,RIG048,Idle,2021-01-16,2315287,196136,2024-09-19,19
EQ038,Top Drive-038,Rotary Table,RIG185,Maintenance,2022-10-29,2559310,46883,2024-09-04,25
EQ039,Top Drive-039,Blowout Preventer,RIG132,Maintenance,2019-12-11,3471462,99119,2024-08-17,17
EQ040,Power System-040,Mud Pump,RIG113,Active,2016-02-04,3194949,107299,2024-04-01,5
EQ041,Rotary Table-041,BOP Stack,RIG120,Active,2019-09-11,2526372,79771,2024-02-15,20
EQ042,Power System-042,Top Drive,RIG026,Active,2021-08-08,2458407,69399,2024-05-10,8
EQ043,Rotary Table-043,BOP Stack,RIG157,Active,2018-11-15,2821370,132599,2024-09-25,15
EQ044,Drill Pipe-044,Rotary Table,RIG115,Active,2018-03-27,2151866,138989,2024-07-05,7
EQ045,Drawworks-045,Rotary Table,RIG195,Maintenance,2015-08-30,4417665,135437,2024-09-21,16
EQ046,Mud Pump-046,Drill Pipe,RIG100,Active,2017-10-06,4838344,116540,2024-03-09,21
EQ047,Blowout Preventer-047,Rotary Table,RIG139,Maintenance,2018-09-11,1859953,56396,2024-03-11,5
EQ048,Blowout Preventer-048,Drill Pipe,RIG146,Active,2022-12-14,3866017,36544,2024-08-14,11
EQ049,Pressure Pump-049,Rotary Table,RIG196,Active,2022-07-09,4538414,199084,2024-02-09,19
EQ050,Pressure Pump-050,Top Drive,RIG155,Active,2019-12-10,2945297,87317,2024-04-07,11
EQ051,Mud Pump-051,Rotary Table,RIG065,Idle,2018-11-13,3820939,147835,2024-04-16,18
EQ052,BOP Stack-052,Top Drive,RIG128,Active,2021-03-07,4705395,129128,2024-03-25,6
EQ053,Mud Pump-053,Blowout Preventer,RIG188,Active,2019-11-15,674198,45393,2024-09-26,8
EQ054,Pressure Pump-054,Blowout Preventer,RIG052,Idle,2015-11-14,4031072,156717,2024-08-15,18
EQ055,Top Drive-055,Rotary Table,RIG106,Active,2017-12-02,3627195,168218,2024-06-25,5
EQ056,Top Drive-056,Power System,RIG129,Maintenance,2016-11-13,2512586,120254,2024-07-12,11
EQ057,Blowout Preventer-057,Drill Pipe,RIG173,Active,2023-02-17,4728318,122499,2024-06-15,19
EQ058,Mud Pump-058,Drawworks,RIG128,Active,2016-06-14,706542,31875,2024-04-13,18
EQ059,Blowout Preventer-059,Top Drive,RIG129,Active,2015-10-28,4991761,170544,2024-07-26,25
EQ060,Blowout Preventer-060,Drawworks,RIG149,Active,2016-11-17,2377205,25107,2024-06-06,17
EQ061,Drill Pipe-061,BOP Stack,RIG098,Maintenance,2017-08-29,4385803,21090,2024-02-10,10
EQ062,Top Drive-062,Blowout Preventer,RIG198,Active,2018-06-12,4886551,120897,2024-08-27,13
EQ063,BOP Stack-063,Mud Pump,RIG048,Active,2015-10-16,4857028,33795,2024-05-18,12
EQ064,Power System-064,BOP Stack,RIG166,Active,2019-02-07,4091476,181747,2024-07-25,8
EQ065,Mud Pump-065,Power System,RIG050,Active,2016-11-16,3764951,117988,2024-07-24,19
EQ066,BOP Stack-066,Pressure Pump,RIG139,Idle,2016-11-18,1288467,74802,2024-02-16,25
EQ067,Drilling Motor-067,Pressure Pump,RIG061,Active,2015-06-18,866844,132630,2024-07-19,16
EQ068,Power System-068,Mud Pump,RIG155,Maintenance,2016-08-13,1020862,180636,2024-02-28,7
EQ069,Blowout Preventer-069,BOP Stack,RIG057,Idle,2019-04-10,4304189,78283,2024-05-30,14
EQ070,Blowout Preventer-070,BOP Stack,RIG196,Idle,2017-01-31,1439785,175396,2024-06-15,13
EQ071,Power System-071,Drill Pipe,RIG069,Maintenance,2022-04-25,4913678,170695,2024-09-04,13
EQ072,Rotary Table-072,Drilling Motor,RIG106,Active,2016-08-14,3831231,184733,2024-07-30,12
EQ073,Drilling Motor-073,Drill Pipe,RIG039,Active,2017-10-25,1388762,74324,2024-05-11,12
EQ074,Drill Pipe-074,Pressure Pump,RIG162,Idle,2021-05-14,3188644,118247,2024-08-03,10
EQ075,Blowout Preventer-075,Blowout Preventer,RIG080,Maintenance,2022-01-30,640767,191850,2024-01-11,14
EQ076,Drill Pipe-076,Top Drive,RIG126,Idle,2016-01-27,942428,29520,2024-02-02,21
EQ077,Drill Pipe-077,Rotary Table,RIG145,Active,2022-06-11,2680870,187719,2024-09-17,18
EQ078,Pressure Pump-078,Drill Pipe,RIG027,Active,2018-08-19,3348533,21216,2024-08-13,25
EQ079,BOP Stack-079,Pressure Pump,RIG102,Idle,2019-04-14,4681649,76340,2024-02-28,21
EQ080,Power System-080,BOP Stack,RIG089,Maintenance,2020-05-25,4390946,56290,2024-04-12,10
EQ081,Rotary Table-081,Rotary Table,RIG186,Idle,2015-09-26,2207946,167428,2024-02-22,5
EQ082,Rotary Table-082,Drawworks,RIG002,Active,2017-04-19,1057993,106555,2024-02-09,9
EQ083,BOP Stack-083,Blowout Preventer,RIG130,Maintenance,2020-12-20,2704843,160192,2024-07-02,9
EQ084,Blowout Preventer-084,Drilling Motor,RIG180,Maintenance,2020-10-21,2039430,50446,2024-04-26,15
EQ085,Power System-085,Power System,RIG022,Idle,2017-04-12,1502401,43366,2024-06-28,11
EQ086,BOP Stack-086,Power System,RIG167,Active,2022-04-28,972797,78205,2024-07-30,22
EQ087,Power System-087,Rotary Table,RIG045,Active,2016-07-17,1255805,144610,2024-02-11,24
EQ088,Rotary Table-088,Top Drive,RIG082,Active,2016-07-27,2593625,25132,2024-06-07,21
EQ089,BOP Stack-089,Drawworks,RIG039,Active,2022-10-15,1923783,102101,2024-05-09,5
EQ090,Blowout Preventer-090,Mud Pump,RIG178,Idle,2021-09-12,4599104,185881,2024-04-20,23
EQ091,Power System-091,Top Drive,RIG178,Active,2016-10-04,4669772,128831,2024-06-30,20
EQ092,Drill Pipe-092,Pressure Pump,RIG166,Active,2021-02-22,4165358,116675,2024-07-13,10
EQ093,Drilling Motor-093,Power System,RIG052,Active,2020-04-18,2630541,192286,2024-09-01,25
EQ094,Power System-094,Mud Pump,RIG128,Maintenance,2021-03-08,1016736,79559,2024-02-12,22
EQ095,Pressure Pump-095,Power System,RIG164,Maintenance,2015-06-18,4929432,187868,2024-06-19,19
EQ096,Top Drive-096,Blowout Preventer,RIG039,Active,2015-03-02,2163424,118985,2024-08-30,12
EQ097,Mud Pump-097,Power System,RIG179,Active,2022-04-14,907614,199944,2024-07-17,24
EQ098,Pressure Pump-098,Blowout Preventer,RIG167,Active,2018-09-11,735099,57439,2024-05-29,7
EQ099,Drill Pipe-099,Drawworks,RIG178,Maintenance,2022-04-19,4316049,164895,2024-09-18,19
EQ100,Pressure Pump-100,Power System,RIG017,Active,2022-06-13,2661179,75705,2024-09-06,20
EQ101,Blowout Preventer-101,Top Drive,RIG047,Idle,2022-03-21,2836668,162144,2024-03-17,9
EQ102,BOP Stack-102,Drill Pipe,RIG068,Active,2016-06-01,3671065,91993,2024-08-13,5
EQ103,BOP Stack-103,Power System,RIG146,Maintenance,2023-02-09,2106314,144234,2024-01-29,19
EQ104,Drawworks-104,Drilling Motor,RIG164,Active,2017-04-05,3577907,25923,2024-02-11,16
EQ105,Blowout Preventer-105,Drilling Motor,RIG092,Active,2021-12-24,1306181,149733,2024-03-14,24
EQ106,Rotary Table-106,BOP Stack,RIG064,Active,2022-01-05,608099,169645,2024-02-05,5
EQ107,Blowout Preventer-107,BOP Stack,RIG072,Active,2015-04-08,3550975,188558,2024-02-24,18
EQ108,Drill Pipe-108,Drawworks,RIG168,Active,2016-08-10,1494034,195055,2024-09-20,21
EQ109,Top Drive-109,BOP Stack,RIG102,Active,2017-02-13,2429281,191122,2024-06-29,19
EQ110,Drawworks-110,Drawworks,RIG199,Active,2015-05-06,3040468,188822,2024-01-19,25
EQ111,Rotary Table-111,Mud Pump,RIG147,Active,2022-01-17,4060183,66512,2024-01-13,14
EQ112,Pressure Pump-112,Drilling Motor,RIG073,Active,2020-08-09,2624064,48670,2024-01-02,24
EQ113,Drill Pipe-113,BOP Stack,RIG057,Maintenance,2020-10-20,3332563,134571,2024-07-20,21
EQ114,Rotary Table-114,Blowout Preventer,RIG048,Maintenance,2022-01-08,1406175,183656,2024-02-23,6
EQ115,Top Drive-115,Drawworks,RIG001,Maintenance,2020-05-12,2768741,197815,2024-08-02,9
EQ116,Drawworks-116,Drawworks,RIG039,Active,2017-11-03,2569135,94425,2024-08-10,21
EQ117,Blowout Preventer-117,Power System,RIG153,Active,2017-11-10,4075363,100144,2024-04-26,23
EQ118,Rotary Table-118,Blowout Preventer,RIG035,Active,2020-06-03,839792,185363,2024-09-05,20
EQ119,Rotary Table-119,Mud Pump,RIG157,Active,2020-01-14,4322243,89864,2024-03-07,11
EQ120,BOP Stack-120,Rotary Table,RIG081,Active,2022-06-01,3351469,115926,2024-07-20,9
EQ121,Top Drive-121,BOP Stack,RIG154,Active,2019-10-03,4782104,59645,2024-05-08,7
EQ122,BOP Stack-122,Rotary Table,RIG081,Maintenance,2022-03-25,983812,21774,2024-07-08,13
EQ123,Pressure Pump-123,Pressure Pump,RIG154,Active,2023-03-04,2511867,94332,2024-05-13,23
EQ124,Top Drive-124,Mud Pump,RIG033,Maintenance,2022-10-19,2622773,83306,2024-07-07,16
EQ125,Drill Pipe-125,Top Drive,RIG035,Active,2020-03-31,1289156,149621,2024-05-16,18
EQ126,Power System-126,Drawworks,RIG191,Active,2016-04-08,789203,84958,2024-06-19,14
EQ127,Mud Pump-127,Top Drive,RIG044,Maintenance,2018-02-24,2280617,162356,2024-04-20,25
EQ128,Mud Pump-128,Top Drive,RIG085,Active,2021-08-28,2604003,65897,2024-04-22,24
EQ129,Power System-129,Rotary Table,RIG088,Active,2018-09-26,1132081,21509,2024-04-30,14
EQ130,Drill Pipe-130,Rotary Table,RIG154,Active,2021-04-08,1832414,173769,2024-09-25,10
EQ131,Mud Pump-131,Mud Pump,RIG072,Active,2016-07-26,4418535,74184,2024-02-02,7
EQ132,Mud Pump-132,Blowout Preventer,RIG062,Active,2019-03-30,2167336,46460,2024-06-29,6
EQ133,Pressure Pump-133,Drill Pipe,RIG125,Idle,2021-04-21,4234868,189535,2024-03-29,9
EQ134,Drawworks-134,Drill Pipe,RIG038,Active,2023-01-15,3746671,38136,2024-04-01,21
EQ135,Power System-135,BOP Stack,RIG193,Active,2016-01-17,2527042,31019,2024-09-13,17
EQ136,Rotary Table-136,Top Drive,RIG151,Idle,2017-07-03,4069531,155276,2024-05-15,10
EQ137,Drill Pipe-137,Power System,RIG176,Maintenance,2019-12-01,3518958,121921,2024-05-08,24
EQ138,Pressure Pump-138,Pressure Pump,RIG003,Idle,2022-01-03,4644003,62119,2024-01-15,20
EQ139,BOP Stack-139,BOP Stack,RIG168,Active,2017-05-08,1897651,43424,2024-06-05,21
EQ140,Rotary Table-140,Drill Pipe,RIG050,Idle,2022-06-19,1768637,90716,2024-05-23,17
EQ141,Top Drive-141,Mud Pump,RIG133,Active,2022-10-25,4041551,168797,2024-06-20,11
EQ142,Blowout Preventer-142,Top Drive,RIG056,Maintenance,2019-08-10,1658533,20828,2024-08-11,7
EQ143,Drilling Motor-143,Drilling Motor,RIG139,Maintenance,2016-12-19,3253094,152300,2024-07-25,6
EQ144,Pressure Pump-144,Drawworks,RIG198,Active,2021-01-03,754737,95915,2024-03-25,20
EQ145,Power System-145,Drill Pipe,RIG120,Idle,2019-07-20,3438723,128367,2024-01-06,14
EQ146,Mud Pump-146,Drilling Motor,RIG153,Active,2017-08-29,4537900,136955,2024-01-23,17
EQ147,Pressure Pump-147,Blowout Preventer,RIG139,Active,2016-05-04,2180065,103258,2024-09-29,5
EQ148,Power System-148,Pressure Pump,RIG194,Active,2018-09-08,1015097,67795,2024-10-02,6
EQ149,BOP Stack-149,Rotary Table,RIG122,Active,2023-03-11,3655728,161687,2024-05-25,11
EQ150,Blowout Preventer-150,Drill Pipe,RIG196,Idle,2020-12-25,997802,74893,2024-07-07,18
